observation_id,species_common,species_scientific,observed_on,created_at,latitude,longitude,place_guess,quality_grade,obscured,positional_accuracy,uri
350667848,Common Snapping Turtle,Chelydra serpentina,2026-04-17,2026-04-17T20:21:58-04:00,38.9092967369,-77.5106904075,"South Riding Golf Club, Chantilly, VA, US",research,False,25.0,https://www.inaturalist.org/observations/350667848
350667559,Common Snapping Turtle,Chelydra serpentina,2026-04-17,2026-04-17T20:20:37-04:00,38.909308126,-77.5106938777,"South Riding Golf Club, Chantilly, VA, US",research,False,17.0,https://www.inaturalist.org/observations/350667559
350049561,Common Snapping Turtle,Chelydra serpentina,2026-04-15,2026-04-15T12:31:18-04:00,38.94575,-77.58867,"Willow Grove Dr, Aldie, VA, US",research,False,8.0,https://www.inaturalist.org/observations/350049561
349333742,Common Snapping Turtle,Chelydra serpentina,2026-04-12,2026-04-12T15:40:52-04:00,39.2129087569,-77.5413906588,"Loudoun County, VA, USA",research,False,4.0,https://www.inaturalist.org/observations/349333742
348851519,Common Snapping Turtle,Chelydra serpentina,2026-04-10,2026-04-10T21:22:12-04:00,39.0328112075,-77.5004066324,"Ashburn, VA, USA",research,False,15.0,https://www.inaturalist.org/observations/348851519
347645459,Common Snapping Turtle,Chelydra serpentina,2026-04-05,2026-04-05T17:30:54-04:00,38.9069511252,-77.4812021479,"South Riding, VA 20152, USA",research,False,955.0,https://www.inaturalist.org/observations/347645459
347335385,Common Snapping Turtle,Chelydra serpentina,2026-04-04,2026-04-04T15:35:20-04:00,39.0464659,-77.4498147,"Heron Overlook Park, 20570 Heron Overlook Plz, Ashburn, VA 20147, USA",research,False,192.0,https://www.inaturalist.org/observations/347335385
344792682,Common Snapping Turtle,Chelydra serpentina,2026-03-23,2026-03-23T19:46:11-04:00,39.2331462824,-77.6772071177,"Morrisonville Rd, Lovettsville, VA, US",research,False,55.0,https://www.inaturalist.org/observations/344792682
338259898,Common Snapping Turtle,Chelydra serpentina,2017-05-31,2026-02-11T19:16:31-05:00,39.0996278333,-77.793245,"Paxson Rd, Round Hill, VA, US",research,False,510.0,https://www.inaturalist.org/observations/338259898
337673840,Common Snapping Turtle,Chelydra serpentina,2020-05-23,2026-02-07T10:17:13-05:00,39.292855,-77.7270133333,"Hillsboro, VA, US",research,False,4.0,https://www.inaturalist.org/observations/337673840
335502124,Common Snapping Turtle,Chelydra serpentina,2022-04-13,2026-01-20T12:54:31-05:00,38.9094549796,-77.510694179,"South Riding Golf Club, Chantilly, VA, US",research,False,18.0,https://www.inaturalist.org/observations/335502124
332924553,Common Snapping Turtle,Chelydra serpentina,2025-12-31,2025-12-31T17:02:11-05:00,39.0427856445,-77.4970245361,Ashburn,research,False,3.0,https://www.inaturalist.org/observations/332924553
331235847,Common Snapping Turtle,Chelydra serpentina,2025-12-18,2025-12-18T16:27:48-05:00,39.0105933333,-77.5009016667,"Broadlands, VA, USA",research,False,,https://www.inaturalist.org/observations/331235847
328305556,Common Snapping Turtle,Chelydra serpentina,2024-10-17,2025-11-26T00:04:04-05:00,39.0105846619,-77.5011891738,"Broadlands, VA, USA",research,False,218.0,https://www.inaturalist.org/observations/328305556
327552943,Common Snapping Turtle,Chelydra serpentina,2025-05-30,2025-11-21T15:03:02-05:00,39.2687333333,-77.6453783333,"Redbud Ln, Lovettsville, VA, US",research,False,9.0,https://www.inaturalist.org/observations/327552943
325761175,Common Snapping Turtle,Chelydra serpentina,2025-11-09,2025-11-09T16:44:24-05:00,38.9075527599,-77.4814355001,"South Riding, VA 20152, USA",research,False,343.0,https://www.inaturalist.org/observations/325761175
324395017,Common Snapping Turtle,Chelydra serpentina,2013-04-06,2025-11-01T17:15:52-04:00,39.0323588611,-77.6117204965,Dulles Greenway Wetlands Mitigation Project,research,False,275.0,https://www.inaturalist.org/observations/324395017
322851179,Common Snapping Turtle,Chelydra serpentina,2025-10-23,2025-10-24T18:48:50-04:00,39.0799266667,-77.4786,"Lansdowne, VA, USA",research,False,,https://www.inaturalist.org/observations/322851179
322673543,Common Snapping Turtle,Chelydra serpentina,2025-10-23,2025-10-23T21:04:51-04:00,39.0796968682,-77.4787867592,"Lansdowne, VA, USA",research,False,44.0,https://www.inaturalist.org/observations/322673543
321834014,Common Snapping Turtle,Chelydra serpentina,2025-10-19,2025-10-19T09:55:35-04:00,39.0433616818,-77.486275211,"Ashburn, VA, USA",casual,False,194.0,https://www.inaturalist.org/observations/321834014
320740146,Common Snapping Turtle,Chelydra serpentina,2023-06-16,2025-10-13T18:32:22-04:00,39.2937049,-77.7250512,"Sweet Run State Park, 11661 Harpers Ferry Rd, Hillsboro, VA 20132, USA",research,False,189.0,https://www.inaturalist.org/observations/320740146
320279746,Common Snapping Turtle,Chelydra serpentina,2025-10-11,2025-10-11T19:11:05-04:00,39.0105754441,-77.5009502321,"Broadlands, VA, US",research,False,2.0,https://www.inaturalist.org/observations/320279746
314425512,Common Snapping Turtle,Chelydra serpentina,2020-08-14,2025-09-16T16:27:51-04:00,39.022558494,-77.4997718969,"Shellhorn Rd, Ashburn, VA, US",research,False,197.0,https://www.inaturalist.org/observations/314425512
314392256,Common Snapping Turtle,Chelydra serpentina,2025-09-15,2025-09-16T14:06:19-04:00,39.0105527783,-77.500969445,"Broadlands, VA, USA",research,False,,https://www.inaturalist.org/observations/314392256
313892106,Common Snapping Turtle,Chelydra serpentina,2025-09-14,2025-09-14T13:19:58-04:00,39.0633517317,-77.4290436407,"Virginia, US",research,True,34.0,https://www.inaturalist.org/observations/313892106
313870057,Common Snapping Turtle,Chelydra serpentina,2025-09-14,2025-09-14T12:04:33-04:00,38.9735033333,-77.5448133333,"Aldie, VA, US",research,False,4.0,https://www.inaturalist.org/observations/313870057
313564933,Common Snapping Turtle,Chelydra serpentina,2025-09-13,2025-09-13T10:26:18-04:00,38.9871063232,-77.5371170044,Brambleton,research,False,3.0,https://www.inaturalist.org/observations/313564933
311745440,Common Snapping Turtle,Chelydra serpentina,2025-09-05,2025-09-05T14:07:08-04:00,39.0164459102,-77.4065867811,"Sterling, VA, USA",research,False,189.0,https://www.inaturalist.org/observations/311745440
311692465,Common Snapping Turtle,Chelydra serpentina,2025-09-05,2025-09-05T10:04:25-04:00,39.1950383333,-77.66822,"Grace Pl, Waterford, VA, US",research,False,13.0,https://www.inaturalist.org/observations/311692465
307806219,Common Snapping Turtle,Chelydra serpentina,2025-08-20,2025-08-20T15:12:13-04:00,38.9135228937,-77.5596916298,"Bright Ct, Aldie, VA, US",research,False,5609.0,https://www.inaturalist.org/observations/307806219
